Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,Betriebskonzept,
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Ja,Der Server ist redundant vorhanden.,Betriebskonzept,Administrator
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S002 Dateiserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,Betriebskonzept,
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Ja,Der Server ist redundant vorhanden.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S003 Druckserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Nein,Der Server ist nicht redundant vorhanden.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S004 Kommunikationsserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Nein,Der Server ist nicht redundant vorhanden.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S005 DB-Server der Kunden- und Auftragsbearbeitung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Nein,Der Server ist nicht redundant vorhanden.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S006 DB-Server der Finanzbuchhaltung,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Nein,Der Server ist nicht redundant vorhanden.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S012 Backupserver,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A7 Sicherheitsprüfung von Windows Server 2012,Standard,Ja,Es werden regelmäßige Penetrationstests durchgeführt.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A8 Schutz der Systemintegrität,Standard,Ja,Secure Boot ist aktiviert. AppLocker ist aktiviert.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A9 Lokale Kommunikationsfilterung,Standard,Ja,Auf den Systemen ist ein Paketfilter installiert.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A10 Festplattenverschlüsselung bei Windows Server 2012,Erhöht,Entbehrlich,Aufgrund der physischen Sicherheit der Serversysteme  wird auf eine Festplattenverschlüsselung verzichtet. ,,
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11 Angriffserkennung bei Windows Server 2012,Erhöht,Teilweise,Ein IPS/IDS-System ist bereits in Planung.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit,Erhöht,Nein,Der Server ist nicht redundant vorhanden.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13 Starke Authentifizierung bei Windows Server 2012,Erhöht,Teilweise,Ein rollenbasiertes Administrationsmodell ist vorhanden. Eine Zwei-Faktor-Authentifizierung ist in Planung.,Betriebskonzept,Administrator
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A14 Herunterfahren verschlüsselter Server und virtueller Maschinen,Erhöht,Entbehrlich,Keine verschlüsselten Server im Einsatz.,,
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A1 Planung von Windows Server 2012,Standard,Ja,"Die Beschaffung von Servern wird geplant, u.a. gibt es Checklisten für 
- Auswahl Hard- u. Software  inkl.techn. Vorgaben, insb. zu Windows Server 2012 (inkl. Edition)
- Schnittstellen
- Einsatzumgebung bzgl. Administration und Benutzung
- Umfang der Protokollierung
- Einbindung in Patch-Management
- Einbindung in Monitoring
- Einbindung von Cloud",Betriebskonzept,Administrator
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A2 Sichere Installation von Windows Server 2012,Basis,Ja,Installationsmedien stammen aus vertrauenswürdigen Quellen. Bei Bezug aus dem Internet werden Fingerprints verglichen und Checksummen geprüft. Patchkonzept etabliert.,Betriebskonzept,Administrator
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A3 Sichere Administration von Windows Server 2012,Basis,Ja,Über Keepass werden Admin-Passwörter verwaltet und sind allen Administratoren zugänglich. Keepass wird auch zur Generierung von Passwörtern genutzt. Jeder Server hat individuelles Passwort. Administratoren sind geschult.,Betriebskonzept,Administrator
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A4 Sichere Konfiguration von Windows Server 2012,Standard,Ja,"Server werden gehärtet (Reduktion auf notwenige Dienste, Funktionalitäten und Ports). Es wird ein Server-Profil genutzt. ",Betriebskonzept,Administrator
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A5 Schutz vor Schadsoftware,Standard,Ja,Auf den Servern ist ein Virenschutz installiert.,Betriebskonzept,Administrator
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A6 Sichere Authentisierung und Autorisierung in Windows Server 2012,Standard,Ja,"Authentisierung und Autorisierung ist so konfiguriert, dass nur Benutzer Mitglieder der Sicherheitsgruppe „Geschützte Nutzer“ sind. Dienste und Computer sind dementsprechend Mitglieder der Gruppe ""Managed Service Account"".",Betriebskonzept,Administrator
